# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 0.000000000000000000e+00 6.629657961649888147e-04 3.992573969722262796e-04 4.532224559571154110e-01 -1.125173778080214987e-01 1.435593153698990041e-04 2.088071547661473075e-04 -1.125174268316650045e-01 4.532222554470877740e-01 -3.572168181043466808e-04 3.114032786669196313e-05 2.064208557007885122e-04 -1.541645186950865937e-04 -9.317774051857982687e-02 4.290318141816811259e-01 -1.028013094639881067e-04 -3.062267955560057757e-04 -4.290316675288382009e-01 -9.317786816613057854e-02
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 2.000000000000000000e+00 5.225446527701091285e-04 2.865647222130918506e-04 3.452255048063546106e-01 -1.006863758715021012e-01 -1.107827116677388007e-02 -5.191009757425527581e-03 -1.007020266536619996e-01 3.373598540577069094e-01 4.577135193271093805e-02 5.592350662188649152e-02 1.096163863763040085e-02 -4.546877928777724037e-02 -7.724242993889569864e-02 3.177728478916266863e-01 -5.134711940003509195e-03 5.614172668076934658e-02 -3.177334522201745726e-01 -6.937689341976423230e-02
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 4.000000000000000000e+00 4.195936699018835915e-04 2.351665669382241547e-04 2.793688224103789142e-01 -7.869015202292611866e-02 -3.236113828662343789e-02 6.854380743407328946e-03 -7.861133701281644570e-02 2.621435343304007737e-01 5.626486808415422092e-02 7.110096650658345729e-02 3.262790916282830300e-02 -5.631530875266751307e-02 -9.283652168302661267e-02 2.450206517851412913e-01 6.484062668759658400e-03 7.114820122278515957e-02 -2.449968596440874058e-01 -7.561143034607173408e-02
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 6.000000000000000000e+00 3.482318894434327581e-04 2.164345798330125721e-04 2.409282019593829982e-01 -5.623441545628043992e-02 -4.592365388180606744e-02 1.490550322679454025e-02 -5.623846270738400155e-02 2.157741108582555967e-01 5.600692130569275007e-02 7.759159453348515867e-02 4.588023876893283087e-02 -5.617770395632894903e-02 -1.069424969379651064e-01 2.001631765378797945e-01 1.502346487416758927e-02 7.746509632476820950e-02 -2.002209831804822038e-01 -8.178847258527661979e-02
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 8.000000000000000000e+00 2.909783810037214701e-04 2.099578745898080824e-04 2.137362105298457049e-01 -3.456930063007911114e-02 -5.450738080262162305e-02 2.084330557711206941e-02 -3.453373247832976223e-02 1.829707444094380020e-01 4.977145822648666035e-02 7.949666981335073990e-02 5.449885485237913885e-02 -5.008636528012545830e-02 -1.185306761738226938e-01 1.658149365868039071e-01 2.092440288969141943e-02 7.931413774099543845e-02 -1.659125327092874080e-01 -8.776538541443912322e-02
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 1.000000000000000000e+01 2.440431911698585292e-04 2.107577791228652927e-04 1.940515082512611900e-01 -1.420200226557664057e-02 -5.981114898452893208e-02 2.480086204660805066e-02 -1.423176841670698023e-02 1.600549798681329960e-01 4.077671001698338765e-02 7.863867532583848630e-02 5.976830211472577981e-02 -4.074701653045451066e-02 -1.270226126033195957e-01 1.379819595240786012e-01 2.488694435867793917e-02 7.864868477452960360e-02 -1.379917535057831879e-01 -9.302609866204887556e-02
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 1.200000000000000000e+01 2.049884318302138363e-04 2.152644034156896656e-04 1.793107355814299864e-01 4.384484456190260171e-03 -6.200062905351085701e-02 2.680496965453782118e-02 4.380605165638609688e-03 1.446704598523554097e-01 3.031905345152585002e-02 7.576895495599708652e-02 6.199593802784954255e-02 -3.031577257745611889e-02 -1.320258999414596068e-01 1.142984855508934056e-01 2.681645150999925967e-02 7.577049209739707136e-02 -1.143001598208745057e-01 -9.738562447006307576e-02
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 1.400000000000000000e+01 1.719873340220015373e-04 2.218348380126663848e-04 1.680334727890480107e-01 2.126860750917810086e-02 -6.168887924803734962e-02 2.721633985159250049e-02 2.134428367277966046e-02 1.351351908965651993e-01 1.977193988548442069e-02 7.099138225439546868e-02 6.171225789836475017e-02 -1.997221301399199067e-02 -1.336069377929469948e-01 9.378351129170593714e-02 2.710386361309789077e-02 7.091256509550344922e-02 -9.381056296605007339e-02 -1.007087540618891996e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 1.600000000000000000e+01 1.449279773856874292e-04 2.299083516457355557e-04 1.599327172699248067e-01 3.625887118557633709e-02 -5.906455756904981785e-02 2.624087172642771901e-02 3.633137654966125257e-02 1.305438973231098088e-01 1.072477790050553950e-02 6.519050495716779969e-02 5.912154091821863328e-02 -1.079464768167846984e-02 -1.327677691324498921e-01 7.640755633747597919e-02 2.601125769555899872e-02 6.513858454612800331e-02 -7.637331722076737273e-02 -1.033790585700353065e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.800000000000000000e+01 1.800000000000000000e+01 1.223652607791755279e-04 2.381746852146022760e-04 1.538328299077514061e-01 4.941280900729116271e-02 -5.447675449164116751e-02 2.407641630288503976e-02 4.943365177561204887e-02 1.293670176788697945e-01 3.412584307344733187e-03 5.806667025580582175e-02 5.452225208600534195e-02 -3.355936864264579943e-03 -1.298151055845309099e-01 6.152215278965639939e-02 2.393019840120478095e-02 5.805222976021551934e-02 -6.147871722692865165e-02 -1.053493407906441054e-01
