# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 6.702279968262905840e-05 2.330979575370930809e-05 4.812713991717335743e-02 -2.328928828099158937e-02 2.244759497308054891e-05 5.342215727556081799e-05 -2.328933584318575861e-02 4.812679468392516702e-02 -5.274483203788576214e-05 -1.711887886047657055e-04 -1.913323998902176975e-05 7.131994105549868982e-05 -3.205138314442273345e-02 2.732272695444099009e-02 2.786321895614765059e-05 -1.574347582128469969e-04 -2.732277164852184997e-02 -3.205104413664629920e-02
2.125000000000000036e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 7.171302079569575488e-05 2.536068606877236783e-05 5.171864984038262308e-02 -2.469546333872858074e-02 2.210046288570931082e-05 4.721504565886065882e-05 -2.469550356846197947e-02 5.171840898178770018e-02 -4.577949573480650684e-05 -1.486177541742782888e-04 -1.782354265229484945e-05 6.310185645596084352e-05 -3.446643448038812230e-02 2.961437732166799855e-02 2.032306307587860130e-05 -1.349598805811717079e-04 -2.961441204859500964e-02 -3.446619955812046249e-02
2.150000000000000062e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 7.704498145994325407e-05 2.773005762464848532e-05 5.582174343042271836e-02 -2.627386302764449927e-02 2.161036929235760017e-05 4.059855598015969742e-05 -2.627389525511673873e-02 5.582158897965452254e-02 -3.814549865014969028e-05 -1.239618893076675874e-04 -1.631816000954842925e-05 5.398712257199433961e-05 -3.718560454012655170e-02 3.229515772718830058e-02 1.246944429667577999e-05 -1.105148779256909052e-04 -3.229518343158963023e-02 -3.718545569217195784e-02
2.175000000000000087e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 8.241992371014431485e-05 3.042279491120304839e-05 6.012001848824490013e-02 -2.770288045981744024e-02 3.249591380408184171e-05 2.992502430029592901e-05 -2.770290341201899972e-02 6.011992166362317702e-02 -3.372858051737943988e-05 -9.911994149683758858e-05 -2.606155383597795035e-05 4.740648492149695918e-05 -4.015646293025604274e-02 3.513434220994079982e-02 7.760063798437636306e-07 -8.627468003043102182e-05 -3.513436336498389212e-02 -4.015637127509816273e-02
2.200000000000000112e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 8.735430125159497649e-05 3.314385328652926828e-05 6.419865957803100320e-02 -2.888208626780843988e-02 4.858020624670574819e-05 1.853426606356395112e-05 -2.888210182503537019e-02 6.419859183453877072e-02 -3.153159502849542275e-05 -7.680450407044557256e-05 -4.080575306834746761e-05 4.226838414379845881e-05 -4.318415003791681306e-02 3.771497507456687825e-02 -1.182351009955150978e-05 -6.486837788539275289e-05 -3.771499479221718243e-02 -4.318408712235675961e-02
2.225000000000000138e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 9.185618827111406758e-05 3.577006490380049209e-05 6.799634743122667802e-02 -2.988140320414954879e-02 6.801624849685580397e-05 5.988208170939434392e-06 -2.988141212632201144e-02 6.799628986529829278e-02 -2.952811729699210882e-05 -5.317685732603157853e-05 -5.901740889551042871e-05 3.708911857865458938e-05 -4.622112968129978017e-02 3.992755468228344901e-02 -2.541259527343071002e-05 -4.231868386213189100e-05 -3.992757530523544790e-02 -4.622107668200924058e-02
2.250000000000000163e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 9.582649377496687822e-05 3.815548140255886481e-05 7.138253068674817181e-02 -3.072579580167128857e-02 9.023592109326601034e-05 -9.075957397317315850e-06 -3.072579783831697053e-02 7.138246564008123018e-02 -2.602931403454016037e-05 -2.256374615687615118e-05 -8.023261196126384946e-05 2.979587762854654905e-05 -4.913105078480808213e-02 4.168366985957921295e-02 -4.077336524368839997e-05 -1.317946824721086916e-05 -4.168369283641937956e-02 -4.913098996552026781e-02
2.275000000000000188e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 9.875215740649920422e-05 3.996844090747000619e-05 7.390716066777301696e-02 -3.131861910016771333e-02 1.184001211522260058e-04 -3.004928239876907914e-05 -3.131861318018584750e-02 7.390705054539119245e-02 -1.911464867587150159e-05 2.489827050049406865e-05 -1.075927318747388957e-04 1.788182827805377974e-05 -5.161038819281005274e-02 4.263539211859306011e-02 -6.096034275116365221e-05 3.219231530067407824e-05 -4.263542022648437319e-02 -5.161028188270119776e-02
2.300000000000000214e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 9.937086363384754772e-05 4.035485527186838975e-05 7.444266592054434029e-02 -3.144237888959713206e-02 1.607936862940740101e-04 -6.386239010566202687e-05 -3.144236542489191322e-02 7.444238559120543164e-02 -7.104855969908876719e-06 1.044348127789975037e-04 -1.496845655220806063e-04 -8.377353242015856500e-07 -5.275273572481847806e-02 4.207408542584357980e-02 -9.151103655335003986e-05 1.086422194297491996e-04 -4.207412582317548305e-02 -5.275245864848324834e-02
2.325000000000000239e-07 8.000000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 9.593278560380457320e-05 3.825116625137856642e-05 7.149013923910590984e-02 -3.073144695792289979e-02 2.472499580283075136e-04 -1.226453140056367886e-04 -3.073144367088428974e-02 7.148925937205663494e-02 1.864570304137866011e-06 2.223127060109135044e-04 -2.359574850633605083e-04 -1.971426651453866017e-05 -5.113838922011740978e-02 3.938606907446543653e-02 -1.438767212928125086e-04 2.219004156529731132e-04 -3.938614323491487768e-02 -5.113751249014329009e-02
