# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 0.000000000000000000e+00 8.878622353668731313e-04 7.963190919313966080e-04 7.120959747601154355e-01 -3.870575151302935168e-02 1.209206105723938064e-04 -2.790751104348108123e-05 -3.870574668763737680e-02 7.120959519045176878e-01 -8.724709452540937754e-06 -1.292303108805679869e-04 -1.255301861784416948e-04 3.031822788242314020e-05 -6.889231264975064217e-01 1.759757576607663965e-01 4.041833287388538395e-06 -1.274007052094442056e-04 -1.759757568283812912e-01 -6.889231041726082694e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 2.000000000000000000e+00 8.877171171356576171e-04 7.968372418314712989e-04 7.122536978897731075e-01 -3.842531225223073249e-02 -2.755494727114594054e-03 2.073269832453344085e-04 -3.842511235211037990e-02 7.122213675884825346e-01 8.609217326629754882e-04 6.136890396575667150e-03 2.762197937569046795e-03 -8.263260671273435628e-04 -6.892734436423798572e-01 1.753004752199993077e-01 1.461527692274235991e-04 6.142894888345845975e-03 -1.753002032361682117e-01 -6.892411151031881955e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 4.000000000000000000e+00 8.867356344574140554e-04 7.978049982455437828e-04 7.122478942287857606e-01 -3.760114606003706061e-02 -5.300797766476735701e-03 3.163930657933983898e-04 -3.760154594778997161e-02 7.121260940512059712e-01 1.630636833840070103e-03 1.194410060787096974e-02 5.295528451057245241e-03 -1.611366897493029041e-03 -6.897497982218582235e-01 1.735675086471588913e-01 3.547778483599140788e-04 1.194545687284333940e-02 -1.735674895254326888e-01 -6.896279987022261304e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 6.000000000000000000e+00 8.851441631622247600e-04 7.994564029064462002e-04 7.122732349137739227e-01 -3.623001168302530939e-02 -7.502649767013199605e-03 5.332572778464356178e-04 -3.622899483476049731e-02 7.120226504342356266e-01 2.333905181629495999e-03 1.717007667646600066e-02 7.515502289828748100e-03 -2.233248947664120965e-03 -6.905820050094679807e-01 1.706222817865191976e-01 4.062289963363985984e-04 1.718560227124327905e-02 -1.706203689726457917e-01 -6.903314298938876270e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 8.000000000000000000e+00 8.831505907382137437e-04 8.014035012969601170e-04 7.122535850271214386e-01 -3.456383965071869319e-02 -9.505845814990820236e-03 5.695395045201712830e-04 -3.456447900147847224e-02 7.118545186382507772e-01 2.797640635417205941e-03 2.167592218346441058e-02 9.500322396422455906e-03 -2.819697343124699142e-03 -6.915985075502314450e-01 1.667142305848610118e-01 6.206102050163673362e-04 2.167204432624357871e-02 -1.667149170245617873e-01 -6.911994422638968461e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 1.000000000000000000e+01 8.807221072621649856e-04 8.043145850304546200e-04 7.124576353245417604e-01 -3.230619419696206807e-02 -1.102735947725322005e-02 7.441398230268042591e-04 -3.230499549825732730e-02 7.119210992252422709e-01 3.190617818633834091e-03 2.513596462500846881e-02 1.103731113089831059e-02 -3.109528456248092983e-03 -6.930683154187871065e-01 1.618595032118096966e-01 6.415710918781548922e-04 2.514766473896630147e-02 -1.618572467490095868e-01 -6.925317854034584997e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 1.200000000000000000e+01 8.779314536421840192e-04 8.073544056813421795e-04 7.125629867121124894e-01 -2.984098621018993133e-02 -1.229872019390092046e-02 8.414403852572069353e-04 -2.983962348032631953e-02 7.119088929816669298e-01 3.404255749550479972e-03 2.771464052836360853e-02 1.230975137118157925e-02 -3.285608489750047132e-03 -6.945259472172308213e-01 1.564544739898492132e-01 7.196457868987350681e-04 2.773042304448210954e-02 -1.564510697853087051e-01 -6.938718637649351484e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 1.400000000000000000e+01 8.753516281125445220e-04 8.110496261257329597e-04 7.130345916492937253e-01 -2.718780694313932891e-02 -1.270210791184746973e-02 8.004586772767073588e-04 -2.718794546112207958e-02 7.123229470772585170e-01 3.358606362918847843e-03 2.900156843110901148e-02 1.270199543502750078e-02 -3.336564672264296944e-03 -6.963904332912157491e-01 1.506908763239876992e-01 7.975333518117043441e-04 2.900398269778826921e-02 -1.506903961497721989e-01 -6.956787888946577292e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 1.600000000000000000e+01 8.715673390747302740e-04 8.140083617685151722e-04 7.126855358558210618e-01 -2.433675957969189119e-02 -1.299012200417667962e-02 8.445453056367679956e-04 -2.433638282420352850e-02 7.119576057222452015e-01 3.246392330006354996e-03 2.927501912648889162e-02 1.299339914236880000e-02 -3.195931836791706185e-03 -6.974981768521167913e-01 1.442700466269526971e-01 8.040168265011100185e-04 2.928088396180577105e-02 -1.442686248610509925e-01 -6.967702482045113888e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.700000000000000000e+01 1.800000000000000000e+01 8.688602242442290333e-04 8.173485742212825787e-04 7.129532185935040234e-01 -2.177986303495904954e-02 -1.240813303915556075e-02 7.988032123564248188e-04 -2.177972006926410034e-02 7.122938705207060295e-01 2.943017513188541170e-03 2.786514829980202973e-02 1.240944104118374067e-02 -2.922014078581721113e-03 -6.989628060681530863e-01 1.388156382074381967e-01 7.822101130193839791e-04 2.786747033915232957e-02 -1.388150775805483128e-01 -6.983034582491981501e-01
