# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 0.000000000000000000e+00 4.691292459153970822e-04 1.585538443433808550e-04 2.516431885461373197e-01 -1.245121711074902021e-01 1.728494519498310867e-04 1.234865066760120085e-04 -1.245122482817133946e-01 2.516429425646565243e-01 -7.202675198673631274e-05 -3.044727091411694730e-04 -1.341586489087553957e-04 -9.208849041690565622e-05 -2.022651818763931963e-01 -8.312505146270982026e-02 8.893279021815474097e-05 -2.649394788038672197e-04 8.312514271569815261e-02 -2.022649668789039956e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+00 4.666955309719667423e-04 1.615669001110857145e-04 2.518754509322648771e-01 -1.223285170146825029e-01 -2.065770853500776064e-02 5.343168566366161137e-03 -1.223266147681913024e-01 2.485308546723871137e-01 1.123658909024832959e-02 -3.303998119172599224e-02 2.070953574878436898e-02 -1.153263010889138060e-02 -2.048394916692135026e-01 -7.973927703129893296e-02 5.183714467613577057e-03 -3.294488015868588665e-02 7.976809497102718693e-02 -2.014950201041681987e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.000000000000000000e+00 4.575503081758344423e-04 1.683571683563432717e-04 2.509313307524158043e-01 -1.159398507610631956e-01 -3.951235120501538772e-02 1.061339963237744981e-02 -1.159428117926979002e-01 2.380998294420773875e-01 2.028173720477690137e-02 -6.473385181790607124e-02 3.947937935096546003e-02 -2.010059881594528086e-02 -2.103058695389851962e-01 -6.911325609320424779e-02 1.070337066854313082e-02 -6.478502720974430029e-02 6.907917110339285849e-02 -1.974744138412486971e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.000000000000000000e+00 4.433000965724057671e-04 1.816929076342225894e-04 2.505647114577275181e-01 -1.048804216533146955e-01 -5.621319847164801126e-02 1.548948389183923968e-02 -1.048386714481110010e-01 2.237758222322593915e-01 2.406560126125438168e-02 -9.337718800266082975e-02 5.630878267253752734e-02 -2.450195696084849981e-02 -2.196327991726113871e-01 -5.210269308609555283e-02 1.542480478831000958e-02 -9.331056919562101537e-02 5.220275887363885758e-02 -1.928441293718742011e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 8.000000000000000000e+00 4.247913139026318532e-04 1.984210853431522532e-04 2.498508526381388040e-01 -9.075364143255837401e-02 -7.018656228572689448e-02 1.976743393132410903e-02 -9.071064556936977996e-02 2.069626067035849060e-01 2.225100689735691126e-02 -1.173546483917057986e-01 7.025682406350525211e-02 -2.260538152156129146e-02 -2.290352065558745875e-01 -2.898641703765632988e-02 1.971511744536938102e-02 -1.173201591671667043e-01 2.909021375768739912e-02 -1.861471077761497062e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.000000000000000000e+01 4.017332799817384067e-04 2.188666854569821239e-04 2.488035069580054881e-01 -7.331268539640206638e-02 -8.159167358249375113e-02 2.257566756099844973e-02 -7.320529719540186386e-02 1.905346418634381866e-01 1.470023977884006051e-02 -1.349112375179941092e-01 8.168557833649550681e-02 -1.524687509965422065e-02 -2.362053300030307057e-01 -2.946499071134315011e-03 2.258456460093695092e-02 -1.349088809547104861e-01 3.117610840005970857e-03 -1.779368151090872097e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.200000000000000000e+01 3.767691105059085659e-04 2.397547059955933482e-04 2.471693461347025944e-01 -5.493017441892728697e-02 -8.830530922906093538e-02 2.494123662432881985e-02 -5.489283912866362025e-02 1.768486769142023074e-01 2.332253976690790154e-03 -1.462456786960266986e-01 8.828202679916796747e-02 -2.235965084689540017e-03 -2.381907161795377981e-01 2.663396565214661005e-02 2.510531698087587957e-02 -1.462612001868633937e-01 -2.670280209788756035e-02 -1.678700905620217065e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.400000000000000000e+01 3.511567925116361607e-04 2.626925989585437039e-04 2.460971476752348008e-01 -3.546600519170429316e-02 -9.071816519758993391e-02 2.627002998382687096e-02 -3.546126787778604295e-02 1.691888466873467112e-01 -1.370087314903582938e-02 -1.510992731568208125e-01 9.073998788514220371e-02 1.356475800428466084e-02 -2.347309329084781016e-01 5.776850764089751233e-02 2.620096516410267903e-02 -1.511126653150179078e-01 -5.770207366418241002e-02 -1.578226607595852038e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.600000000000000000e+01 3.245486125677183621e-04 2.860206806743484853e-04 2.447821299701591069e-01 -1.544615711367797010e-02 -8.968047870750710249e-02 2.595558176425317998e-02 -1.555218750461406958e-02 1.678839362161811954e-01 -2.953827695568281980e-02 -1.488212739780445937e-01 8.969860467716946062e-02 2.979283875978010893e-02 -2.246195047474532913e-01 8.756558355822578743e-02 2.582932516151150923e-02 -1.487594749452763876e-01 -8.763323250870506953e-02 -1.477214138491740880e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.800000000000000000e+01 2.994215002413882078e-04 3.053870082035791008e-04 2.424725851100728025e-01 2.391620020039412087e-03 -8.473255363687498543e-02 2.510289340568015032e-02 2.461490531962943085e-03 1.722975449437645912e-01 -4.345432609247282946e-02 -1.393155061948158913e-01 8.473874971420720936e-02 4.309618609676969803e-02 -2.068157863185647871e-01 1.163102693529328019e-01 2.507520908620886058e-02 -1.394254939997081888e-01 -1.161724214243081976e-01 -1.366409163265006887e-01
