# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 3.000000000000000000e+01 5.637796683529618796e-04 1.602630038331061485e-04 3.009670961166804881e-01 -1.677321564329292969e-01 6.956558882698974625e-05 -2.346934266153380107e-04 -1.677323341144947022e-01 3.009668052866558141e-01 -1.334637329474614917e-04 3.961481586568038160e-04 5.780131380286488407e-06 -1.144142553662038021e-04 -2.498939003377989021e-01 2.867745477241270152e-04 1.676633302024837952e-05 3.194518022877145089e-04 -2.869209930820357918e-04 -2.498937226720402138e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 3.200000000000000000e+01 5.606096918660916518e-04 1.623526516268625696e-04 3.005180295048517913e-01 -1.655458573276215872e-01 -2.190284661288674148e-02 1.348245322125918907e-03 -1.655374655796308936e-01 2.996051254134894926e-01 6.500924613572007377e-03 -4.611077922652024978e-03 2.195717140493130132e-02 -6.682042631920180262e-03 -2.507213415964621994e-01 6.158525686490744005e-04 1.487765741140924074e-03 -4.653249887453235825e-03 -6.198878381410678979e-04 -2.498084849948035979e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 3.400000000000000000e+01 5.533715377215026173e-04 1.672699062322174695e-04 2.995532874785388766e-01 -1.604931467428485914e-01 -4.409502742036928991e-02 2.771163453877577114e-03 -1.604514458378576980e-01 2.958240958085756045e-01 1.268042462826914941e-02 -9.697872933372490151e-03 4.425229489963729279e-02 -1.321868168882926915e-02 -2.525941199523373815e-01 -1.346744773679377054e-03 2.677473841014633895e-03 -9.669128324570916075e-03 1.363795307758047023e-03 -2.488652004271754981e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 3.600000000000000000e+01 5.414621182369825291e-04 1.765184302800249004e-04 2.984472173483909141e-01 -1.516982993266056123e-01 -6.475510619318387839e-02 3.729486815416174859e-03 -1.516701906242556019e-01 2.903780267601501208e-01 1.793085634283494989e-02 -1.463445810778694033e-02 6.480890609973601058e-02 -1.812209764437359982e-02 -2.563571479728941060e-01 -2.007795913996536161e-03 3.932662550852828592e-03 -1.469012746201132924e-02 1.988850553261771806e-03 -2.482880285833005962e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 3.800000000000000000e+01 5.245188174592269048e-04 1.892292214214144478e-04 2.966878650567684739e-01 -1.393718077043152870e-01 -8.321251756093241136e-02 5.054174595669898643e-03 -1.393467195850308094e-01 2.830294406440130861e-01 2.142591942757710033e-02 -2.240746960350177910e-02 8.324399116445946323e-02 -2.154392451250437129e-02 -2.609577538919553019e-01 -3.974014941645000361e-03 5.224769692803893015e-03 -2.245031308485127830e-02 3.952779867353688019e-03 -2.472993690278199042e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 4.000000000000000000e+01 5.021503743118970516e-04 2.051559390357272385e-04 2.940101949385153235e-01 -1.234534319337902003e-01 -9.962423760114771931e-02 6.385997501089873615e-03 -1.234386874152857971e-01 2.737411447232995232e-01 2.303899561438068136e-02 -3.174232359682831878e-02 9.964477113204722736e-02 -2.313011742657318862e-02 -2.657181973660637242e-01 -4.836616604564880108e-03 6.350556917161371412e-03 -3.173339565033130721e-02 4.848523185365888853e-03 -2.454491560108479076e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 4.200000000000000000e+01 4.758763769850337072e-04 2.224150824929691927e-04 2.902629373592562900e-01 -1.053577540546501989e-01 -1.135834925781546989e-01 7.458323407225055102e-03 -1.052980632386855964e-01 2.623451473848588122e-01 2.285433154690720906e-02 -4.399847026504322134e-02 1.136380056505946062e-01 -2.312880527693214963e-02 -2.693324002736299239e-01 -5.847473662744898625e-03 7.470894436133652255e-03 -4.399793677212081311e-02 5.867501114268211006e-03 -2.414146812951344090e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 4.400000000000000000e+01 4.479864706059709573e-04 2.417974645198377995e-04 2.867265644384572876e-01 -8.570780258788475436e-02 -1.238228157867646007e-01 8.313738855325460836e-03 -8.569768507827292547e-02 2.511599209705532854e-01 2.073941451916438972e-02 -5.742605139100134815e-02 1.238164722696894066e-01 -2.069107965081095138e-02 -2.726717215271691752e-01 -4.197341387578604893e-03 8.510191212645956682e-03 -5.745857736241327673e-02 4.145605057723818904e-03 -2.371051171269573099e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 4.600000000000000000e+01 4.148365054936170408e-04 2.616969472523158211e-04 2.812186581268363850e-01 -6.365642511831297312e-02 -1.289201741786817901e-01 9.650234305520422051e-03 -6.350618619019689215e-02 2.367123371663109044e-01 1.581685312565851015e-02 -7.789985341635799476e-02 1.289766315624238935e-01 -1.627048309494552938e-02 -2.732918794976673116e-01 2.153069456858007068e-04 9.882895205519715010e-03 -7.792904567210638678e-02 -2.048304116120166086e-04 -2.287858133499157953e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.500000000000000000e+01 4.800000000000000000e+01 3.857501178435760142e-04 2.822845607381283982e-04 2.776859224483763100e-01 -4.300813952871373330e-02 -1.289707671574076009e-01 1.165607088266532032e-02 -4.296295717488139709e-02 2.179774854324826039e-01 9.616909273655931123e-03 -1.128255081107865931e-01 1.289729773531239909e-01 -9.665572928374617512e-03 -2.738259925192891853e-01 7.097893970348453582e-03 1.179738355624400034e-02 -1.128385630044612953e-01 -7.123787525685385327e-03 -2.141175782130992078e-01
