# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 0.000000000000000000e+00 7.020909045544777025e-04 6.015660092494123186e-04 5.226465196387216627e-01 -4.030123732089733318e-02 -2.793385832556072039e-05 1.425003074070934001e-04 -4.030123261925253053e-02 5.226463732746111646e-01 -3.505746595598118040e-04 -9.287179489856333943e-05 1.132896820475007044e-04 -2.715431247014424895e-04 -4.577589483126042191e-01 2.489816419193539021e-01 -9.290344546285844219e-05 -2.411867695910393920e-04 -2.489815189761729886e-01 -4.577590275926246011e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+00 7.017803808050815254e-04 6.019345860501145113e-04 5.226697935729126554e-01 -4.002898046003509208e-02 -7.658911308848853627e-03 1.322216122732085969e-03 -4.003154412422346708e-02 5.223213318951929196e-01 4.885319818950023193e-03 1.673532436008313973e-02 7.671035810739570623e-03 -4.212015020330832013e-03 -4.588329056087562252e-01 2.470515231879246987e-01 1.164963176498245035e-03 1.691127175405048033e-02 -2.470387499205314863e-01 -4.584846875562297863e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.000000000000000000e+00 6.977290413721125642e-04 6.031615347772197478e-04 5.215374726709258724e-01 -3.791287237415579686e-02 -1.497155598285120938e-02 2.742714063784535208e-03 -3.788760721171285928e-02 5.201823101428522111e-01 8.637183338802967986e-03 3.321917515503239327e-02 1.514422591786042036e-02 -8.774828531103737519e-03 -4.613490206456266063e-01 2.400868814649324001e-01 2.058519313030470876e-03 3.321192601594386701e-02 -2.400810430691585062e-01 -4.599941062342350895e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.000000000000000000e+00 6.927872388418208254e-04 6.055476592113658409e-04 5.205128808108099303e-01 -3.497504764160769275e-02 -2.140331858016553124e-02 3.134299633201509134e-03 -3.498380738562373304e-02 5.177209616045475027e-01 1.178672651195259921e-02 4.787927552282277011e-02 2.133893349666522027e-02 -1.210995921292036016e-02 -4.654851178208407880e-01 2.299451745741913911e-01 3.458753532409558889e-03 4.779213337629591163e-02 -2.299679531232456942e-01 -4.626933052807721825e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 8.000000000000000000e+00 6.848543219788138766e-04 6.077680882353285073e-04 5.182226985888298554e-01 -3.090448978675857869e-02 -2.636612042542170117e-02 3.762095668741811949e-03 -3.090081564613128898e-02 5.137993451831781577e-01 1.375222971131869962e-02 6.055015812119232677e-02 2.633559520391294886e-02 -1.443224623525990978e-02 -4.699210191579571982e-01 2.157541697638699074e-01 3.998646864617507596e-03 6.039356605237654330e-02 -2.158023086331621043e-01 -4.654979292310796879e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.000000000000000000e+01 6.758843133090661594e-04 6.108689306616641411e-04 5.158697027370685584e-01 -2.606518870405502911e-02 -3.041501083742379971e-02 4.195867679046574872e-03 -2.607641284717024041e-02 5.098507283702368165e-01 1.510674226894097999e-02 7.073526967056632808e-02 3.038698714104713997e-02 -1.504850717347364954e-02 -4.750827975179411911e-01 1.987277657297032984e-01 4.327118846582100886e-03 7.074354546105104946e-02 -1.987276344015098117e-01 -4.690638336179047130e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.200000000000000000e+01 6.654573683380043524e-04 6.139564891049768174e-04 5.129272837736169599e-01 -2.064711582047815130e-02 -3.256378362044724112e-02 4.348712958092144920e-03 -2.063888825768326121e-02 5.057396668329620093e-01 1.479212413069014992e-02 7.761011469844109056e-02 3.258018694077777222e-02 -1.483943035228968942e-02 -4.798074861968504856e-01 1.794848735046490062e-01 4.264083742876637051e-03 7.760327203033114130e-02 -1.794858016569718939e-01 -4.726198740251111863e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.400000000000000000e+01 6.533932049816273176e-04 6.166912340439889909e-04 5.091870450540127990e-01 -1.471411471172067928e-02 -3.341478780320832065e-02 4.304734138022653367e-03 -1.467802125724004987e-02 5.014076076156136486e-01 1.330095008847349998e-02 8.092467459998764490e-02 3.345861176680225285e-02 -1.382455212085363996e-02 -4.832810073575510845e-01 1.590210403897708014e-01 4.081781754648884653e-03 8.084343420927536661e-02 -1.590564792685386919e-01 -4.755017343705438271e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.600000000000000000e+01 6.428731219872687794e-04 6.193259760638806502e-04 5.060257485711485703e-01 -9.440239785461962407e-03 -3.256073156923393330e-02 4.108651270407936984e-03 -9.383038266245397052e-03 4.982573978191304209e-01 1.160581904238570938e-02 8.117123704963928599e-02 3.264977888123347244e-02 -1.178318019029864043e-02 -4.865643198712332751e-01 1.381238038429266068e-01 3.485816216223514008e-03 8.115231447418788657e-02 -1.381177999648197929e-01 -4.787961820412234837e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.800000000000000000e+01 6.312617383619160277e-04 6.213409411290141951e-04 5.021784673513831621e-01 -3.977327233043309596e-03 -3.058815791143061971e-02 3.562250378124235794e-03 -3.945323039281412036e-03 4.951209826260670188e-01 9.414001736028665066e-03 7.746756492810824568e-02 3.063809041180218934e-02 -9.383945040049043382e-03 -4.880678066861887099e-01 1.177264589775587067e-01 3.144201985197477966e-03 7.747284800558436324e-02 -1.177110740735823058e-01 -4.810104112966427925e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+01 6.218839630077060716e-04 6.242380810294699675e-04 4.995803285856639242e-01 9.437848086147893056e-04 -2.744503405344229929e-02 2.670020045006834142e-03 9.277207863565284374e-04 4.937257019645058809e-01 6.974649956240568799e-03 7.075592711752676234e-02 2.741224730641867932e-02 -7.231607490107474709e-03 -4.895929470384747795e-01 9.908146367730963355e-02 2.992935474516976013e-03 7.073033918545421073e-02 -9.910895742123043695e-02 -4.837384070126141133e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.200000000000000000e+01 6.128731627772270258e-04 6.258623404280235858e-04 4.966190050832167135e-01 5.207465568797003952e-03 -2.282524469365219966e-02 2.129301193355706990e-03 5.212405547558057739e-03 4.923293004171047094e-01 4.585055412735919433e-03 6.079308498962140289e-02 2.280347868911304990e-02 -5.358846052337879265e-03 -4.896917691950617990e-01 8.228636208521560025e-02 2.340000989376585933e-03 6.072934390176239206e-02 -8.233913430498447650e-02 -4.854023919894648875e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.400000000000000000e+01 6.061899809891435750e-04 6.275803350317962293e-04 4.946284216914078047e-01 8.575564610486197115e-03 -1.803162043852311880e-02 1.552889637743231060e-03 8.564229013152346859e-03 4.919341482169919955e-01 3.177900334149629837e-03 4.816871620416166011e-02 1.801402574791143019e-02 -3.220849889898081027e-03 -4.897860869040022158e-01 6.840982940760027831e-02 1.799991116217563919e-03 4.816788024271465712e-02 -6.841647312635305844e-02 -4.870918454671270270e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.600000000000000000e+01 6.004639072419405092e-04 6.283776709180349460e-04 4.926524511258638106e-01 1.119085188813966937e-02 -1.208559679775121978e-02 9.146667330192405354e-04 1.118577435538286972e-02 4.913864089027832893e-01 1.540712310800297028e-03 3.311267232164313845e-02 1.205834185447002965e-02 -2.097552001042201839e-03 -4.890972939004171183e-01 5.795813275391344110e-02 1.268177812367584983e-03 3.308378388819552263e-02 -5.798128253127236842e-02 -4.878314735272630265e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.800000000000000000e+01 5.970379476134744746e-04 6.292964285553072357e-04 4.916472937252827080e-01 1.293268390982293958e-02 -5.987554969538345408e-03 8.030638086489582522e-04 1.294136044146997934e-02 4.913162565858774089e-01 8.502620778828968127e-04 1.698243996616075058e-02 6.016228732921373966e-03 -7.761358609936251998e-04 -4.887694810192806938e-01 5.151017796245851293e-02 2.760812607276139931e-04 1.697937952240800158e-02 -5.150566649742720216e-02 -4.884385883597254785e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 3.000000000000000000e+01 5.965088813543179122e-04 6.297559873164720315e-04 4.916194276114841943e-01 1.332903161498021939e-02 5.460849968662785279e-05 -1.180108344503074937e-04 1.332909018353667027e-02 4.916193582668784146e-01 1.182935933379659996e-04 -1.970827599720491124e-04 -6.247408848433711121e-05 1.357347853310168090e-04 -4.889565335433079252e-01 4.933026856805840243e-02 1.069780624417709019e-04 -1.812449415686217104e-04 -4.933030414087268001e-02 -4.889565229144111069e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 3.200000000000000000e+01 5.964451467937803911e-04 6.293216934865232667e-04 4.914197640326600780e-01 1.318047142983725002e-02 6.188460627708013834e-03 -4.329856618030276244e-04 1.317618342343424009e-02 4.910883054453062946e-01 -8.186063106022179250e-04 -1.692315223155333934e-02 -6.176024830207507352e-03 7.989396312315126189e-04 -4.885219415748917049e-01 5.162356740235653219e-02 -6.739854044816445677e-04 -1.692743071805372090e-02 -5.162474854007131214e-02 -4.881905128298418273e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 3.400000000000000000e+01 6.006221649730574420e-04 6.285399772840886230e-04 4.927809678452039766e-01 1.119247501837927934e-02 1.234040439850873916e-02 -1.338058443149565046e-03 1.120856576413752949e-02 4.914865386877100839e-01 -1.807441005027660055e-03 -3.342277942630277054e-02 -1.236603597841078039e-02 1.879697299568439985e-03 -4.891941130906006241e-01 5.824294029051854671e-02 -8.925725991294278239e-04 -3.341340024864256769e-02 -5.823979092970407723e-02 -4.878997877786339088e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 3.600000000000000000e+01 6.055138642639189099e-04 6.273922614642161088e-04 4.942819608672006093e-01 8.771225029324591915e-03 1.786972444161879017e-02 -1.819225261133685040e-03 8.788793934579042233e-03 4.915995492474691808e-01 -3.093189154899849986e-03 -4.808995817633054948e-02 -1.788725055842535147e-02 3.308717047391638005e-03 -4.894098679116618000e-01 6.857166421175438231e-02 -1.540905357510440055e-03 -4.807240141432576191e-02 -6.857715538866281102e-02 -4.867275194484276812e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 3.800000000000000000e+01 6.126606213460888441e-04 6.259571842853538064e-04 4.965718191812595883e-01 5.330698797957916790e-03 2.289452516053639905e-02 -2.260636890729820093e-03 5.345280347323289050e-03 4.923067547478198747e-01 -4.669789217093423678e-03 -6.055336335961986061e-02 -2.289454716046881999e-02 5.202881767142324837e-03 -4.896785931317353957e-01 8.208441528912327478e-02 -2.225713251589718066e-03 -6.050860347499720238e-02 -8.211646164656352664e-02 -4.854136740198664035e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.000000000000000000e+01 6.218085500086836239e-04 6.242384667713176110e-04 4.995502495561084944e-01 9.741731321755431328e-04 2.732144634974800063e-02 -2.866249483612991200e-03 9.593872982869844357e-04 4.936910660640473902e-01 -7.486128145598180961e-03 -7.077312766477469874e-02 -2.733209018359221074e-02 6.699692773744012585e-03 -4.896088794203427019e-01 9.889453202696386891e-02 -2.768077355095183156e-03 -7.085210243957193454e-02 -9.883516838818338923e-02 -4.837500153212918041e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.200000000000000000e+01 6.318771734273940632e-04 6.220917852324517241e-04 5.027262196356901969e-01 -3.923040662959009772e-03 3.089386349411137045e-02 -3.451750888293372843e-03 -3.918430537184020013e-03 4.956080465845302818e-01 -9.518896440582739343e-03 -7.777740767379405507e-02 -3.090842682689377147e-02 9.344790301062768853e-03 -4.886160692195620769e-01 1.177890441379337017e-01 -3.324257367092429971e-03 -7.779875049317791502e-02 -1.177712808282720958e-01 -4.814979198253845905e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.400000000000000000e+01 6.425083386834269748e-04 6.192265930837249910e-04 5.058396605825864478e-01 -9.333838665645105559e-03 3.307696556974969171e-02 -3.650991904750836015e-03 -9.354066034154867593e-03 4.980178147538155131e-01 -1.149251229682802036e-02 -8.131975886088170513e-02 -3.302137733774992978e-02 1.193904932958909926e-02 -4.863820324711082832e-01 1.380565653366055967e-01 -4.077502271472077666e-03 -8.125307448986340830e-02 -1.381077571411628013e-01 -4.785603803168783088e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.600000000000000000e+01 6.533065676649628698e-04 6.163820137436283684e-04 5.090283425582717847e-01 -1.480335001629176986e-02 3.348284807894968962e-02 -4.002214295094515262e-03 -1.485527147410867048e-02 5.011896791944663310e-01 -1.395708758077164081e-02 -8.116883507205574499e-02 -3.341710253256492680e-02 1.326068589671572026e-02 -4.831789637819404182e-01 1.588475414698179988e-01 -4.344671932989437046e-03 -8.127603811318526161e-02 -1.588017169350685875e-01 -4.753406063261146897e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.800000000000000000e+01 6.651290220493516914e-04 6.137649932728985423e-04 5.127188748952650199e-01 -2.059225137410250137e-02 3.273878062824699120e-02 -4.345362472302362333e-03 -2.056314765332037039e-02 5.055029021429329195e-01 -1.440512930014340928e-02 -7.776917860889873135e-02 -3.275695722391393228e-02 1.528256915900423965e-02 -4.795655394150367123e-01 1.795055672039350958e-01 -4.346200721643746212e-03 -7.760923750945414312e-02 -1.795747959419904949e-01 -4.723499574483714936e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 5.000000000000000000e+01 6.756467934139603069e-04 6.107329625559999734e-04 5.157199684000184359e-01 -2.602447577663316927e-02 3.035357524884256877e-02 -4.410169621692924813e-03 -2.599226374341237142e-02 5.097107127208819755e-01 -1.487692997795673003e-02 -7.069856722096130863e-02 -3.042192942760816102e-02 1.524493553115159952e-02 -4.749456266749367273e-01 1.986674627957212003e-01 -4.119575381314841134e-03 -7.063198962409525383e-02 -1.986849051331227023e-01 -4.689364826454582857e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 5.200000000000000000e+01 6.845305098857912838e-04 6.078261707781815312e-04 5.181161654794735894e-01 -3.075138516222463911e-02 2.628283935221243858e-02 -3.837306530138708937e-03 -3.074599391817978145e-02 5.136955526064010957e-01 -1.390123864455809939e-02 -6.051571378167255877e-02 -2.628080801809432043e-02 1.423348231146693947e-02 -4.699700297933986914e-01 2.154285510866706110e-01 -3.894000913618481108e-03 -6.044117453380738747e-02 -2.154504931080233887e-01 -4.655494746635807091e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 5.400000000000000000e+01 6.923944197100679546e-04 6.051960391516098079e-04 5.202144291642109009e-01 -3.495853060298861892e-02 2.147412641568320971e-02 -3.380245221255860893e-03 -3.496598749376487320e-02 5.174005291445462618e-01 -1.230454784458203006e-02 -4.791972569152661010e-02 -2.148163825919469083e-02 1.167903733916086928e-02 -4.651985988987450971e-01 2.298776059937701899e-01 -3.252992665168462100e-03 -4.807058014365150206e-02 -2.298442713577059926e-01 -4.623849062151907940e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 5.600000000000000000e+01 6.982848564038123115e-04 6.030089380594846199e-04 5.216991261291454851e-01 -3.819688033007800909e-02 1.512065650362219051e-02 -2.490499488908201869e-03 -3.819308472348952738e-02 5.203346639819712571e-01 -8.801477143202653119e-03 -3.330499775891455211e-02 -1.515581803274296084e-02 8.693895285873696338e-03 -4.613592895838424246e-01 2.403702573444791990e-01 -2.329799737707089879e-03 -3.333759149423570767e-02 -2.403641276564568996e-01 -4.599948464844912932e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 5.800000000000000000e+01 7.018075268055360815e-04 6.023785895439002277e-04 5.228586811865069128e-01 -3.986185894534222118e-02 7.597800549718822585e-03 -1.237511298688369994e-03 -3.985942501155347734e-02 5.225115868035586919e-01 -4.398600891668082158e-03 -1.685355792056722132e-02 -7.613036981636909020e-03 4.678842815979667412e-03 -4.591474938766730851e-01 2.468858447033057124e-01 -1.222174967271614935e-03 -1.678369955093812066e-02 -2.468905272307277965e-01 -4.588004396149539255e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.000000000000000000e+01 7.020902598668256984e-04 6.015665474334687748e-04 5.226464769405753108e-01 -4.030076309813609980e-02 -2.724720637123685001e-05 1.425613405760870866e-04 -4.030075902879162730e-02 5.226463304221187212e-01 -3.507304477622752805e-04 -9.353448770853835237e-05 1.126995041219063014e-04 -2.713190205396533747e-04 -4.577596812718107144e-01 2.489802814984647950e-01 -9.323606174374307978e-05 -2.418150777531186016e-04 -2.489801582826444981e-01 -4.577597604485761917e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.200000000000000000e+01 7.017803787107407655e-04 6.019346933664183582e-04 5.226698357572421294e-01 -4.002893659642969837e-02 -7.658958060726705347e-03 1.322251225993234958e-03 -4.003150058132010081e-02 5.223213750934787569e-01 4.885369451077144903e-03 1.673525569440251909e-02 7.671087681006247966e-03 -4.211940351252427273e-03 -4.588329739574197874e-01 2.470514938482618050e-01 1.164957904680198044e-03 1.691123598548588056e-02 -2.470387181635159135e-01 -4.584847570106018733e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.400000000000000000e+01 6.977294616768669978e-04 6.031621598589611069e-04 5.215378917747621745e-01 -3.791279027741806251e-02 -1.497163970407134996e-02 2.742584850223904035e-03 -3.788753447170212230e-02 5.201826811474792311e-01 8.637415023239137027e-03 3.321986886541618278e-02 1.514425087112782932e-02 -8.774880867635205528e-03 -4.613498425567360006e-01 2.400862213793956979e-01 2.058599260811617895e-03 3.321265556610913938e-02 -2.400803801920818048e-01 -4.599948798749218803e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.600000000000000000e+01 6.927877186331233249e-04 6.055479759976099960e-04 5.205132001651414653e-01 -3.497511299164390852e-02 -2.140369758498541011e-02 3.133939392873753144e-03 -3.498388624317033679e-02 5.177212128922688006e-01 1.178626745353007939e-02 4.788000718982368675e-02 2.133916516025647150e-02 -1.211070259324860919e-02 -4.654854457169254056e-01 2.299451757465255930e-01 3.459206382132336017e-03 4.779255489911336807e-02 -2.299680307488181086e-01 -4.626935657748774133e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.800000000000000000e+01 6.848543735635927512e-04 6.077680792566441748e-04 5.182227156699550363e-01 -3.090451406713723079e-02 -2.636610051360054052e-02 3.762093801216983158e-03 -3.090083830826129141e-02 5.137993648988621320e-01 1.375220394371702917e-02 6.055015082495145834e-02 2.633557830299506144e-02 -1.443226439947888073e-02 -4.699210412426524930e-01 2.157541583998620893e-01 3.998637653230600886e-03 6.039354935843783273e-02 -2.158022997582736136e-01 -4.654979539789265153e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 7.000000000000000000e+01 6.758843213378113628e-04 6.108689404943318073e-04 5.158697098978523021e-01 -2.606518798084809033e-02 -3.041502948602413034e-02 4.195867359485967729e-03 -2.607640584814943999e-02 5.098507323685131931e-01 1.510663340222628999e-02 7.073530601179442434e-02 3.038701064827728157e-02 -1.504861063719513045e-02 -4.750828374294157053e-01 1.987276819120255000e-01 4.327122359622813386e-03 7.074353885508627426e-02 -1.987275659539587958e-01 -4.690638703548508093e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 7.200000000000000000e+01 6.654571450836311393e-04 6.139567352039783463e-04 5.129272929322118424e-01 -2.064692765294318111e-02 -3.256380361340543289e-02 4.348326045520323202e-03 -2.063870509397431122e-02 5.057397347051966197e-01 1.479116827051107051e-02 7.760992976132309595e-02 3.258009411540044309e-02 -1.484030081255715942e-02 -4.798073673394547822e-01 1.794851559857617018e-01 4.264526486266406735e-03 7.760273707612846961e-02 -1.794862553563305041e-01 -4.726198138998173870e-01
