
# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 0.000000000000000000e+00 9.332943414817864098e-04 8.905982070451077702e-04 7.312131609083596384e-01 -1.711722296646661992e-02 1.014253849415759011e-04 -1.475701698125404042e-05 -1.711722037388568873e-02 7.312131450262460142e-01 -3.425720636337186006e-07 -1.123951491203181957e-04 -1.028219984938986032e-04 1.607351248282869944e-05 -7.253113605409841069e-01 9.112144337544611505e-02 4.611989980612955949e-06 -1.116386342759099966e-04 -9.112144322721418832e-02 -7.253113448726057344e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+00 9.333600538785109682e-04 8.908138507511757353e-04 7.313259588280780488e-01 -1.705711430123163855e-02 -8.188128991565596804e-04 4.290343337393293707e-05 -1.705708727275806122e-02 7.313228287513970916e-01 1.443292452676256062e-04 1.970825869609736918e-03 8.203925466336045667e-04 -1.208349154779674023e-04 -7.254585458553448607e-01 9.086582030970909163e-02 1.316786408236957964e-05 1.972639479823911930e-03 -9.086577178088210693e-02 -7.254554162715955989e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 4.000000000000000000e+00 9.330535269637441108e-04 8.911058698784465101e-04 7.313201425396342881e-01 -1.681715238916564950e-02 -1.513903103880463947e-03 3.816400496451233785e-05 -1.681722701794103117e-02 7.313086571606071118e-01 2.594324487928590826e-04 3.800091043436891036e-03 1.512292374875893065e-03 -2.469750903185539861e-04 -7.255204484817168176e-01 9.036783596519128159e-02 6.181245472199254666e-05 3.800590789089345039e-03 -9.036782803029129452e-02 -7.255089633478917222e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 6.000000000000000000e+00 9.324824915864167495e-04 8.915403589943071737e-04 7.312654000475187210e-01 -1.641402954970417119e-02 -2.066350156786995931e-03 1.037117286655652067e-04 -1.641382733371643879e-02 7.312422797396003205e-01 3.841386903959369942e-04 5.420227665470235892e-03 2.070364923802516140e-03 -3.282001024876381764e-04 -7.255905092861175687e-01 8.943140338286691138e-02 2.804448092829031972e-05 5.424514124713938901e-03 -8.943108774836418251e-02 -7.255673920172088787e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 8.000000000000000000e+00 9.319229716127867130e-04 8.919501199462938606e-04 7.312053604538053531e-01 -1.602543704736586125e-02 -2.615617648594346836e-03 6.990587347604658094e-05 -1.602554314335874128e-02 7.311691493893566207e-01 4.326355110027599164e-04 6.776726503599617146e-03 2.614075488119166173e-03 -4.456315159327810249e-04 -7.256859235824842935e-01 8.822807545646722815e-02 9.773114464537617854e-05 6.775633377139884950e-03 -8.822818584636508976e-02 -7.256497128417266351e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 1.000000000000000000e+01 9.311721895181575368e-04 8.928840931864395064e-04 7.312788032542992811e-01 -1.535000511213857957e-02 -3.005197711017977818e-03 1.255603288280800103e-04 -1.534980132051800075e-02 7.312310829944626001e-01 5.190524534300013267e-04 7.776162375769921781e-03 3.008089182261084078e-03 -4.691177910954636744e-04 -7.259666084073124193e-01 8.663331033747484478e-02 6.807726016682140099e-05 7.779736602554997854e-03 -8.663292520073190284e-02 -7.259188901368329727e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 1.200000000000000000e+01 9.303088233357983267e-04 8.937361705558600263e-04 7.312742774785903066e-01 -1.466227002441644958e-02 -3.473191652399011155e-03 1.477490636940620937e-04 -1.466205422759270065e-02 7.312149000012344580e-01 5.722090111648938347e-04 8.626718769631381428e-03 3.476238132634599902e-03 -5.033782377947318941e-04 -7.261779214406315353e-01 8.492619798150505273e-02 8.358577249694028322e-05 8.631375228114780696e-03 -8.492563746473222319e-02 -7.261185470010987908e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 1.400000000000000000e+01 9.297818277001016754e-04 8.950680968586754343e-04 7.315969806432538469e-01 -1.391701329992406019e-02 -3.499834704952475145e-03 1.136537312403243998e-04 -1.391705040853091942e-02 7.315334211431185896e-01 5.517373579686994482e-04 8.968316208113925880e-03 3.499675602136311132e-03 -5.371841623347695539e-04 -7.267291762040636316e-01 8.309549135339211468e-02 1.140084606483299023e-04 8.969142100184769595e-03 -8.309540269843784799e-02 -7.266656167765906948e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 1.600000000000000000e+01 9.281569513672016745e-04 8.956461552316474653e-04 7.311773029215629105e-01 -1.303383909601802011e-02 -3.702528646114500947e-03 1.360322581861820028e-04 -1.303373952849202003e-02 7.311099738945567861e-01 5.549176422579697211e-04 9.187852160705301321e-03 3.703730306134992920e-03 -5.306473867533944774e-04 -7.265759750614593226e-01 8.085436672153718807e-02 1.104556666475996977e-04 9.189427063310839222e-03 -8.085414875685052738e-02 -7.265086464608849770e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 1.800000000000000000e+01 9.274990296329357854e-04 8.966447164884686419e-04 7.313138680400614877e-01 -1.236974177028360086e-02 -3.559479248211832973e-03 1.225636363448371062e-04 -1.236974236461308059e-02 7.312536968468039689e-01 5.075481579619864000e-04 8.663828876790414732e-03 3.559635406396101029e-03 -4.959017643309028035e-04 -7.268901364184370273e-01 7.935636600262198359e-02 1.178788935037337952e-04 8.664502448247634464e-03 -7.935628536455884008e-02 -7.268299652792158394e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+01 9.267632997620410800e-04 8.973873437884056538e-04 7.313166332747220721e-01 -1.177705651549238071e-02 -3.087865829358040978e-03 1.030766975101010018e-04 -1.177698206122330081e-02 7.312676900127785817e-01 4.315611588858683941e-04 7.864484009181637800e-03 3.088288907801833936e-03 -4.558840975971541957e-04 -7.270855943682823508e-01 7.766364441686084141e-02 9.882057661466867038e-05 7.863223076628202829e-03 -7.766376656065072936e-02 -7.270366513153829757e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 2.200000000000000000e+01 9.258809332581279146e-04 8.984743566949129900e-04 7.313986776599736839e-01 -1.098751650400175972e-02 -2.593588899633444099e-03 1.113970244781868971e-04 -1.098724539350381946e-02 7.313622220641452509e-01 3.706948510138546263e-04 6.814934718353037567e-03 2.596512121364310133e-03 -3.789888643495070860e-04 -7.273510680223267411e-01 7.604987271897759027e-02 5.652494682645801960e-05 6.814915620704482119e-03 -7.604981385015571749e-02 -7.273146134821326658e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 2.400000000000000000e+01 9.254860977533161791e-04 8.988580886811790372e-04 7.313942261702743863e-01 -1.067538254819878039e-02 -2.071669547784016872e-03 8.341526592321258163e-05 -1.067528519498872966e-02 7.313720894288623375e-01 2.927407134974907912e-04 5.290966941070121381e-03 2.073201121309767130e-03 -2.806788352047052807e-04 -7.274741604063471589e-01 7.486532463833532602e-02 5.185063594052592012e-05 5.291816913343365750e-03 -7.486523604793045295e-02 -7.274520240562768469e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 2.600000000000000000e+01 9.247710670503034736e-04 8.994514006354157980e-04 7.313454281469990992e-01 -1.015085747640587059e-02 -1.536414460197545054e-03 3.990647997090994784e-05 -1.015091983172167027e-02 7.313347966164498448e-01 1.941180304183523129e-04 3.626561965091497971e-03 1.535136031457425953e-03 -1.946535562883569938e-04 -7.275313925968492912e-01 7.389942314259131950e-02 6.521780304064831064e-05 3.626358719938035068e-03 -7.389945111950038670e-02 -7.275207612859740935e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 2.800000000000000000e+01 9.247701022632980874e-04 8.998838293574965008e-04 7.315184055014156694e-01 -9.977106540282221214e-03 -7.662526513856267882e-04 2.560797438055624833e-05 -9.977102133335413736e-03 7.315154350525778781e-01 9.917105942278071819e-05 1.936012768818390004e-03 7.663357217631497223e-04 -1.055911352178836015e-04 -7.277755892706394558e-01 7.322782883745442006e-02 2.482725907065083158e-05 1.935695944448434036e-03 -7.322783694418151523e-02 -7.277726188361328674e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 3.000000000000000000e+01 9.249114858780840180e-04 8.999242422493756955e-04 7.315912891800009366e-01 -1.001758651346639981e-02 -5.612302139290233999e-05 9.353448166750960471e-06 -1.001758551665410044e-02 7.315912804607122011e-01 4.787334490709362415e-06 9.735368989318268957e-05 5.685005879015189793e-05 -5.742294925479611411e-06 -7.278616904242312113e-01 7.309460950683256686e-02 -5.032161137833099916e-06 9.740460391386694422e-05 -7.309460901377105857e-02 -7.278616817761531799e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 3.200000000000000000e+01 9.248799745157364237e-04 8.997582294372314347e-04 7.315121001531568190e-01 -1.007150922417210034e-02 7.000124895610233041e-04 -1.785767677459364046e-05 -1.007150982965165920e-02 7.315094299145225021e-01 -8.615146704314035004e-05 -1.846312636345619988e-03 -6.997118347279718525e-04 1.089279369031988985e-04 -7.277608157932036193e-01 7.329870233103973065e-02 -2.697284406745666108e-05 -1.845105670355895022e-03 -7.329873551070588411e-02 -7.277581457607866788e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 3.400000000000000000e+01 9.250337136964257613e-04 8.992669392239591511e-04 7.313767732350759943e-01 -1.033010668509081950e-02 1.500736994675371059e-03 -2.624424692339268053e-05 -1.033022259815175037e-02 7.313663323791110837e-01 -1.913741268301138087e-04 -3.603492824657660975e-03 -1.498308142465749979e-03 1.950040229684812075e-04 -7.275580860885900725e-01 7.392197705126124507e-02 -7.468732086256583101e-05 -3.602965892538854097e-03 -7.392203580744483027e-02 -7.275476460414084245e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.000000000000000000e+01 3.600000000000000000e+01 9.256126768122079768e-04 8.988818779063562558e-04 7.314545100221838680e-01 -1.071659181750599966e-02 2.124511982240985964e-03 -4.443660647298871072e-05 -1.071673752961115923e-02 7.314320070120499118e-01 -2.750094329528393199e-04 -5.322717092843100642e-03 -2.122092455478926179e-03 3.029518602233730908e-04 -7.275257073575187583e-01 7.494728811863302087e-02 -9.553161540139633659e-05 -5.320906362031357396e-03 -7.494746440508762153e-02 -7.275032055096799510e-01
