# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 0.000000000000000000e+00 8.949625064214694441e-04 8.122815475311988579e-04 7.155928438218104315e-01 -3.465579649565637271e-02 1.181771362835983019e-04 -2.562750389377447134e-05 -3.465579208072949724e-02 7.155928220648728466e-01 -7.211976137211190606e-06 -1.271125265478572079e-04 -1.221089475123550926e-04 2.768543470066911046e-05 -6.961376729757623449e-01 1.620630546535374028e-01 4.244411490707192399e-06 -1.254955350045503903e-04 -1.620630539430459038e-01 -6.961376516833234218e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 2.000000000000000000e+00 8.948605682841790808e-04 8.127410023106118424e-04 7.157426972361817796e-01 -3.442048816183317789e-02 -2.351658758720791883e-03 1.670208733905724941e-04 -3.442033236039975658e-02 7.157186094519693009e-01 6.839305899877950751e-04 5.333296318780846729e-03 2.357230882717856798e-03 -6.510500228941561033e-04 -6.964416149852208360e-01 1.614666839778891028e-01 1.112787207767856966e-04 5.338414562588040917e-03 -1.614664668015589055e-01 -6.964175286839560108e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 4.000000000000000000e+00 8.940126947239239149e-04 8.135687784115219539e-04 7.157342733684560754e-01 -3.371813813548141248e-02 -4.510192385430197848e-03 2.448903254376866138e-04 -3.371846078608053965e-02 7.156437126827944750e-01 1.291403267286720963e-03 1.037202011629395973e-02 4.505674754647475029e-03 -1.273322445569292959e-03 -6.968122457784156065e-01 1.599675258185498938e-01 2.809682746708507179e-04 1.037320660076374024e-02 -1.599675081837526880e-01 -6.967216856692444171e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 6.000000000000000000e+00 8.926272886726491565e-04 8.149707392889738279e-04 7.157412123383797287e-01 -3.254981084057335244e-02 -6.365971531820899601e-03 4.256824792296665105e-04 -3.254898008871270898e-02 7.155552453910274391e-01 1.853727751338444044e-03 1.489888070846761073e-02 6.377034833531316192e-03 -1.760539696999748917e-03 -6.974581407646317510e-01 1.574007465329370081e-01 3.070941072281481790e-04 1.491199295393500976e-02 -1.573992287873431095e-01 -6.972721818664656679e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 8.000000000000000000e+00 8.909202424826520280e-04 8.166014922493658587e-04 7.157092339642210366e-01 -3.115076939678979029e-02 -8.064417910910306325e-03 4.406331281446850836e-04 -3.115127680951040867e-02 7.154134632429367535e-01 2.214362030837727872e-03 1.879317461875905024e-02 8.059742316802565032e-03 -2.235294202572602005e-03 -6.982451699397064226e-01 1.540056937770697132e-01 4.877855383263132879e-04 1.878985519986673888e-02 -1.540062409344294947e-01 -6.979494001597758013e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 1.000000000000000000e+01 8.888299794784551002e-04 8.191097176821100778e-04 7.158844232830313681e-01 -2.922330893192314968e-02 -9.348576237582423287e-03 5.877070869265508396e-04 -2.922235028059972164e-02 7.154874100306317652e-01 2.536389098947388916e-03 2.177252881447877889e-02 9.357058522736841355e-03 -2.460217887480891080e-03 -6.994280728864803454e-01 1.497686120904719864e-01 4.927089410068329067e-04 2.178255351406814880e-02 -1.497668117553780931e-01 -6.990310648735107435e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 1.200000000000000000e+01 8.864260117254400091e-04 8.217008387687076707e-04 7.159628687670844815e-01 -2.712961306014343918e-02 -1.045225920847881081e-02 6.669893432434334524e-04 -2.712853286697819097e-02 7.154782480527330790e-01 2.716152597557096142e-03 2.401198294660911170e-02 1.046159651255637937e-02 -2.605572669024676814e-03 -7.005824432366698495e-01 1.450655547407836976e-01 5.551621673748376173e-04 2.402545338399007108e-02 -1.450628533333787051e-01 -7.000978312554322347e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 1.400000000000000000e+01 8.842587497923623833e-04 8.249113306261686993e-04 7.164001395056300847e-01 -2.487552283828237121e-02 -1.077492521162065967e-02 6.248592769483689302e-04 -2.487563838728351975e-02 7.158736169656367831e-01 2.679358977165903054e-03 2.510899715161233128e-02 1.077479307968394993e-02 -2.658732062194582840e-03 -7.021314203958661793e-01 1.400513284028080951e-01 6.225333926933654394e-04 2.511107519826004039e-02 -1.400509454678804944e-01 -7.016048980078042341e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 1.600000000000000000e+01 8.809087212300677639e-04 8.273831009766453425e-04 7.160320168052173306e-01 -2.243531071365790011e-02 -1.104653170925391954e-02 6.647760976572561487e-04 -2.243498549088985064e-02 7.154921250391504950e-01 2.602160223205331885e-03 2.536955806424329163e-02 1.104941776730689051e-02 -2.556466549999975978e-03 -7.029370918875343932e-01 1.344285575825923951e-01 6.266976216844737102e-04 2.537449084854528913e-02 -1.344274436524680039e-01 -7.023972013685801929e-01
2.100000000000000011e-07 1.200000000000000000e+02 2.600000000000000000e+01 1.800000000000000000e+01 8.786136642508863767e-04 8.302398957038890741e-04 7.162674696754072201e-01 -2.027590754864833089e-02 -1.055481389870924040e-02 6.270997851181604743e-04 -2.027580614278717830e-02 7.157790775951076157e-01 2.364667949637864856e-03 2.412482279803922908e-02 1.055585397288764070e-02 -2.345411804464119822e-03 -7.041245737138425165e-01 1.297331419745015035e-01 6.127068315311002406e-04 2.412678770988316984e-02 -1.297327077954364971e-01 -7.036361818370625576e-01
