# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 0.000000000000000000e+00 4.071280526318023273e-04 1.581054334464580249e-04 2.296638227041234992e-01 -1.011820567438582036e-01 2.231291133761856890e-04 1.054964804091147051e-04 -1.011821120789415940e-01 2.296635491826402864e-01 -5.316456127860530706e-05 -2.703537737365535923e-04 -1.686405820983578083e-04 -1.097655943153444050e-04 -1.647442197600330061e-01 -1.239635445720365936e-01 1.458719456244160105e-04 -2.295023086814456108e-04 1.239636678702018963e-01 -1.647439819584503029e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 2.000000000000000000e+00 4.052532921635477537e-04 1.604507599248655985e-04 2.298550215474124137e-01 -9.946736480824980298e-02 -1.446232327615797064e-02 6.726835248355520630e-03 -9.946969321470350289e-02 2.244552428010435918e-01 1.681228832597564046e-02 -4.377871595030424778e-02 1.449551632834951941e-02 -1.707139882532278038e-02 -1.684516419689285061e-01 -1.192807478824872980e-01 6.620113824353200671e-03 -4.367302536841419225e-02 1.193135165663205960e-01 -1.630519631542562964e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 4.000000000000000000e+00 3.975110220518880081e-04 1.652982914872879762e-04 2.286788408409941020e-01 -9.435191773943243931e-02 -2.702640645814842132e-02 1.347561036397072927e-02 -9.434987881960471556e-02 2.079501490669032893e-01 2.991245133681031884e-02 -8.510927997521321176e-02 2.700376564171722005e-02 -2.975388150848196078e-02 -1.769430927796281916e-01 -1.049512313321828011e-01 1.353514350586461010e-02 -8.516710377774991403e-02 1.049119772246874943e-01 -1.562144382737729875e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 6.000000000000000000e+00 3.858766057493059703e-04 1.749522434105946602e-04 2.278741450271817015e-01 -8.570209753891146198e-02 -3.767954829963329755e-02 1.952634688617797126e-02 -8.564866322056427506e-02 1.846159279897348071e-01 3.500631860266101292e-02 -1.216879622985111015e-01 3.777680613732879722e-02 -3.538758640726096666e-02 -1.904010394881781032e-01 -8.187185009845206196e-02 1.957282585489096907e-02 -1.216152837839182960e-01 8.199085343067745446e-02 -1.471430191423578060e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 8.000000000000000000e+00 3.710023754032313920e-04 1.860891727490011254e-04 2.263556170964103886e-01 -7.513332814848971974e-02 -4.586305289265654034e-02 2.488808927056950990e-02 -7.507786245779482504e-02 1.572466963673417040e-01 3.096459872357405080e-02 -1.510641165960014964e-01 4.593303242916278728e-02 -3.127435255587646123e-02 -2.033658431577471115e-01 -5.141112682427385200e-02 2.492638576835810860e-02 -1.510278786737405954e-01 5.153599584285679935e-02 -1.342570574961391983e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 1.000000000000000000e+01 3.528281296488224570e-04 1.999246023788954680e-04 2.245926835093010887e-01 -6.212726146393506704e-02 -5.189381828598854662e-02 2.829875001881744859e-02 -6.198912161271512289e-02 1.310035346515933119e-01 1.786483612097225851e-02 -1.716096208767148024e-01 5.198249352850564664e-02 -1.831639200829522987e-02 -2.124965274534434123e-01 -1.732640982551728048e-02 2.843859022838078968e-02 -1.716119737942828072e-01 1.753086041448610050e-02 -1.189077038619035936e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 1.200000000000000000e+01 3.340677496253955151e-04 2.122537336309754158e-04 2.219795595278528100e-01 -4.949507285268339718e-02 -5.393593139154804345e-02 3.124834915714458025e-02 -4.942804880503597065e-02 1.094211642547352065e-01 -2.869453028834637043e-03 -1.827608427768188104e-01 5.391217183564638721e-02 2.965847841387952988e-03 -2.131879820759816913e-01 1.970352527735607859e-02 3.139509477774748980e-02 -1.827774422290096012e-01 -1.978266473775713158e-02 -1.006296345793066954e-01
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 1.400000000000000000e+01 3.160325611895843309e-04 2.251114548270692433e-04 2.198758679605873900e-01 -3.694276677870467207e-02 -5.289325646629988720e-02 3.266571408803572302e-02 -3.692505943782826289e-02 9.729105843318081037e-02 -2.865359518733807953e-02 -1.849128586224969006e-01 5.290832964277381728e-02 2.853723202664856101e-02 -2.045019833274417109e-01 5.726901768542253662e-02 3.266132443244249006e-02 -1.849343888846506911e-01 -5.719694673020166847e-02 -8.191719626518809139e-02
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 1.600000000000000000e+01 2.979290484530422510e-04 2.371717460216905186e-04 2.174204059348054940e-01 -2.468670855010655918e-02 -4.973195572597120806e-02 3.205897285548633957e-02 -2.479846020813534016e-02 9.551270524623056701e-02 -5.386515131661474137e-02 -1.781908707420734039e-01 4.975674757364635659e-02 5.404811165994931332e-02 -1.851410637835184114e-01 9.186117914084994396e-02 3.193401293471650332e-02 -1.781199385765591114e-01 -9.195517153490755102e-02 -6.323345055049689467e-02
2.160000000000000019e-07 1.750000000000000000e+02 2.200000000000000000e+01 1.800000000000000000e+01 2.824046860375878376e-04 2.443547832611336987e-04 2.140311859513389925e-01 -1.546031213718770080e-02 -4.443476582050259749e-02 3.082210109647242832e-02 -1.536979363545933064e-02 1.035017536669493032e-01 -7.499372022756083112e-02 -1.629277031370859052e-01 4.441379308129948800e-02 7.474427068136682561e-02 -1.547012404835826083e-01 1.228791365035298982e-01 3.089750812991648096e-02 -1.630508485669097118e-01 -1.227346467450299988e-01 -4.417193970672961961e-02
