# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 0.000000000000000000e+00 8.041672246607318314e-05 2.939487640349811547e-04 1.500861281222539978e-01 8.560670923126703635e-02 4.186589548453004719e-06 -1.367698498763060132e-04 8.560673537769264430e-02 1.500860652474000911e-01 2.693877121609588930e-06 -6.796415270033436679e-05 2.174366694970191941e-05 2.916832851197058846e-06 -1.205633362559493937e-01 -2.572549087806867002e-02 1.173631659471033973e-04 1.188509649314099945e-05 2.572548205396768886e-02 -1.205633927514972031e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+00 8.131173059062320413e-05 2.936693476499202819e-04 1.503329237912338079e-01 8.513587301966324405e-02 8.635576324284167937e-03 -2.023702252729778998e-03 8.513298178602349275e-02 1.497550424303973060e-01 3.527181649987601829e-03 -9.045075765174520610e-03 -8.656490080824806241e-03 -3.584295085740958967e-03 -1.212545858056687936e-01 -2.515185126176367955e-02 -2.055727555305163212e-03 -9.049835455349906216e-03 2.515273624671199998e-02 -1.206767123551868992e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 4.000000000000000000e+00 8.393708175384361001e-05 2.927303865677785446e-04 1.510090111093743137e-01 8.370691163402646517e-02 1.714588463754634917e-02 -4.073586922560987374e-03 8.371844322541421857e-02 1.487313069274003030e-01 6.931527352179031425e-03 -1.805627078953626896e-02 -1.708570735187439973e-02 -6.731595025791291785e-03 -1.232046848730931066e-01 -2.352682638923467989e-02 -4.089424644815602312e-03 -1.807843836971604126e-02 2.351254610620879051e-02 -1.209270546492642040e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 6.000000000000000000e+00 8.846866867834611353e-05 2.911359102908662685e-04 1.521865223406672907e-01 8.125092372999732915e-02 2.546122393900867101e-02 -6.175039930474775576e-03 8.125201944739812721e-02 1.471625196461547047e-01 9.497460263062338509e-03 -2.697223863123586127e-02 -2.551214546749676002e-02 -9.727479668301865917e-03 -1.264831699110967878e-01 -2.075748943035720870e-02 -5.946210470381116386e-03 -2.688682744819539949e-02 2.080143828723874863e-02 -1.214593595671594056e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 8.000000000000000000e+00 9.480641390872894645e-05 2.890176828017304946e-04 1.538781608681552004e-01 7.786085640076345626e-02 3.359139406805849298e-02 -8.073592398085780580e-03 7.783802556812685625e-02 1.451554845726822085e-01 1.151947525794751008e-02 -3.575690137099724053e-02 -3.368346134922069190e-02 -1.188217956788845987e-02 -1.308610890878277866e-01 -1.706972533428710928e-02 -7.908464850874650717e-03 -3.568785297136944923e-02 1.713679056953883173e-02 -1.221387004950793970e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.000000000000000000e+01 1.031012103421770674e-04 2.861131223426167805e-04 1.560391497312428044e-01 7.337094433869323362e-02 4.138222390701155190e-02 -9.768999037871789470e-03 7.338409803765835737e-02 1.429327691417467128e-01 1.287146143977492031e-02 -4.412225978667427828e-02 -4.135701925687486347e-02 -1.277424703874954076e-02 -1.362063120374970016e-01 -1.233130948261893997e-02 -9.776931227610616976e-03 -4.412863661186863795e-02 1.231476654443909927e-02 -1.230999484888951057e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.200000000000000000e+01 1.128839418414646787e-04 2.824755946930175630e-04 1.585028112747839113e-01 6.799065473753629352e-02 4.866505947992413872e-02 -1.146840763237347988e-02 6.796337038205546577e-02 1.404285563568334061e-01 1.283950199356834014e-02 -5.229327991573422263e-02 -4.868309794442898797e-02 -1.290664333279631024e-02 -1.420033408134915021e-01 -6.254074169553274290e-03 -1.155325842740406034e-02 -5.231221570167503276e-02 6.251884764863377582e-03 -1.239291066219826015e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.400000000000000000e+01 1.248969158445632647e-04 2.779187044553700593e-04 1.614920150974193946e-01 6.134766317694014676e-02 5.527464780878370981e-02 -1.320091776010009002e-02 6.139513032584385799e-02 1.382182171585930874e-01 1.160640314872172021e-02 -6.014118490715424786e-02 -5.530641713318278779e-02 -1.175020829011920974e-02 -1.483463317078825006e-01 8.261312989735905901e-04 -1.284230873045556949e-02 -6.006477395920121337e-02 -7.267792024652349955e-04 -1.250727942344340982e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.600000000000000000e+01 1.386402516164761769e-04 2.723723571569346157e-04 1.647782535638585011e-01 5.361427441882386097e-02 6.117544849492696779e-02 -1.422917832299951980e-02 5.357729663591989655e-02 1.363407556658285946e-01 9.167857055324649118e-03 -6.730641030460951524e-02 -6.119809429135313755e-02 -9.297680007612354330e-03 -1.546398813115880122e-01 8.817279121276175649e-03 -1.427101874616623980e-02 -6.731804605155258803e-02 -8.796045435404081445e-03 -1.262024153823843864e-01
2.100000000000000011e-07 1.750000000000000000e+02 2.000000000000000000e+01 1.800000000000000000e+01 1.541073429562481514e-04 2.657718621110707782e-04 1.683329431796493914e-01 4.476720192670163856e-02 6.617127041679296551e-02 -1.523736035965386065e-02 4.478976647790160193e-02 1.349357756731799918e-01 5.592629768417484160e-03 -7.408269250486450297e-02 -6.614821128009745754e-02 -5.454067784164969013e-03 -1.604520311852805081e-01 1.794569309206615892e-02 -1.527113325680195047e-02 -7.407938423275231554e-02 -1.798800770619796152e-02 -1.270548981081789097e-01
